Division,0
Teams,36
Number,Name,School,City,State,Country
6312,Golden Tigers,,,,
6002,Basilisks,,,,
4855,Batteries In Black,,,,
8716,Techaholix,,,,
5215,THAT Team,,,,
201,BroncoBotics,,,,
3805,Atomic Robotics,,,,
7347,Children of the Matrix,,,,
4512,West Torrance Robotics,,,,
8605,RSF Portal Pounders,,,,
4133,Fusion,,,,
5939,Team AFOOFA,,,,
25,Rock N Roll Robots,,,,
3595,Schrodinger's Hat,,,,
6929,Data Force,,,,
5151,Infinity,,,,
542,WHS Robotics,,,,
3633,Bazinga Bots,,,,
5894,V-Cubed 4H,,,,
8441,Total Reboot,,,,
7832,Gear Gurus,,,,
3825,SnoBotz,,,,
7187,Team Axis,,,,
6148,Orange Pi RoBEARics,,,,
6137,RoBowties,,,,
4238,RCGFofPL,,,,
7198,Cyborg Ferrets,,,,
8045,Gromit's Grommets,,,,
5880,Mad Roboticists,,,,
7391,Error: 7391 Not Found,,,,
7057,Delete*.*,,,,
8660,Charging Champions,,,,
7483,PI Partial Intelligence,,,,
4604,The Force,,,,
6559,Geared Reaction,,,,
5953,Roarbotics,,,,
Rank,Number,Name,QP,RP,Highest,Matches
1,6312,Golden Tigers,14,2811,666,9
2,6002,Basilisks,14,2479,695,9
3,4855,Batteries In Black,14,2430,698,9
4,8716,Techaholix,14,1825,596,9
5,5215,THAT Team,12,2024,642,9
6,201,BroncoBotics,12,1867,581,9
7,3805,Atomic Robotics,12,1729,560,9
8,7347,Children of the Matrix,12,1603,617,9
9,4512,West Torrance Robotics,10,2605,605,9
10,8605,RSF Portal Pounders,10,2441,573,9
11,4133,Fusion,10,2413,557,9
12,5939,Team AFOOFA,10,2389,599,9
13,25,Rock N Roll Robots,10,2196,620,9
14,3595,Schrodinger's Hat,10,2168,426,9
15,6929,Data Force,10,2151,608,9
16,5151,Infinity,10,1988,581,9
17,542,WHS Robotics,10,1921,655,9
18,3633,Bazinga Bots,10,1905,698,9
19,5894,V-Cubed 4H,10,1890,605,9
20,8441,Total Reboot,10,1708,574,9
21,7832,Gear Gurus,10,1214,635,9
22,3825,SnoBotz,8,3377,613,9
23,7187,Team Axis,8,3012,608,9
24,6148,Orange Pi RoBEARics,8,2619,572,9
25,6137,RoBowties,8,2540,510,9
26,4238,RCGFofPL,8,2497,655,9
27,7198,Cyborg Ferrets,8,2157,556,9
28,8045,Gromit?s Grommets,8,2111,695,9
29,5880,Mad Roboticists,8,1882,399,9
30,7391,Error: 7391 Not Found,6,1930,666,9
31,7057,Delete*.*,4,2007,563,9
32,8660,Charging Champions,4,1901,444,9
33,7483,PI ? Partial Intelligence,4,1702,505,9
34,4604,The Force,4,1254,560,9
35,6559,Geared Reaction,2,1846,497,9
36,5953,Roarbotics,2,1568,384,9
Name,Result,Red0,Red1,Red2,Blue0,Blue1,Blue2,RedTot,RedAuto,RedAutoB,RedTele,RedEndG,RedPen,BlueTot,BlueRedAuto,BlueAutoB,BlueTele,BlueEndG,BluePen
Q-13,202-465 B,4604,5215,0,201,4855,0,202.0,20.0,0.0,72.0,60.0,50.0,465.0,80.0,0.0,247.0,138.0,0.0
Q-14,227-493 B,542,6137,0,7391,5939,0,227.0,20.0,0.0,147.0,60.0,0.0,493.0,160.0,0.0,81.0,242.0,10.0
Q-15,332-188 R,7347,5894,0,7198,4238,0,332.0,20.0,0.0,176.0,136.0,0.0,188.0,70.0,0.0,48.0,50.0,20.0
Q-16,90-343 B,7832,8045,0,6312,3633,0,90.0,50.0,0.0,0.0,0.0,40.0,343.0,50.0,0.0,153.0,140.0,0.0
Q-17,184-308 B,4133,6559,0,5880,3805,0,184.0,50.0,0.0,74.0,60.0,0.0,308.0,110.0,0.0,50.0,148.0,0.0
Q-18,563-608 B,7057,3825,0,6929,7187,0,563.0,40.0,0.0,271.0,242.0,10.0,608.0,110.0,0.0,106.0,232.0,160.0
Q-19,170-90 R,8441,5215,0,8716,7391,0,170.0,20.0,0.0,90.0,60.0,0.0,90.0,20.0,0.0,0.0,20.0,50.0
Q-20,176-476 B,8660,7198,0,6137,4604,0,176.0,20.0,0.0,0.0,156.0,0.0,476.0,140.0,0.0,84.0,242.0,10.0
Q-21,525-232 R,6148,542,0,5151,7347,0,525.0,80.0,0.0,213.0,232.0,0.0,232.0,80.0,0.0,102.0,0.0,50.0
Q-22,310-497 B,5894,5939,0,6559,8605,0,310.0,80.0,0.0,114.0,116.0,0.0,497.0,20.0,0.0,225.0,242.0,10.0
Q-23,386-698 B,4512,3805,0,3633,4855,0,386.0,110.0,0.0,76.0,190.0,10.0,698.0,80.0,0.0,246.0,262.0,110.0
Q-24,620-372 R,6312,25,0,7483,6929,0,620.0,80.0,0.0,224.0,206.0,110.0,372.0,20.0,0.0,158.0,194.0,0.0
Q-25,320-174 R,7187,5880,0,4238,3595,0,320.0,90.0,0.0,46.0,184.0,0.0,174.0,40.0,0.0,104.0,20.0,10.0
Q-26,365-695 B,7057,201,0,8045,6002,0,365.0,20.0,0.0,165.0,100.0,80.0,695.0,130.0,0.0,349.0,206.0,10.0
Q-27,350-412 B,4133,5953,0,3825,7832,0,350.0,50.0,0.0,174.0,116.0,10.0,412.0,30.0,0.0,90.0,262.0,30.0
Q-28,408-72 R,4855,8605,0,5151,8441,0,408.0,140.0,0.0,74.0,194.0,0.0,72.0,50.0,0.0,12.0,0.0,10.0
Q-29,291-60 R,7347,5939,0,25,4604,0,291.0,110.0,0.0,65.0,116.0,0.0,60.0,20.0,0.0,0.0,40.0,0.0
Q-30,274-430 B,3595,6559,0,5215,6137,0,274.0,110.0,0.0,96.0,68.0,0.0,430.0,140.0,0.0,78.0,212.0,0.0
Q-31,533-450 R,7187,8716,0,5894,8045,0,533.0,110.0,0.0,225.0,168.0,30.0,450.0,110.0,0.0,168.0,172.0,0.0
Q-32,339-164 R,6148,7832,0,7057,5880,0,339.0,80.0,0.0,87.0,172.0,0.0,164.0,50.0,0.0,44.0,70.0,0.0
Q-33,566-90 R,6002,6929,0,3805,5953,0,566.0,70.0,0.0,312.0,184.0,0.0,90.0,20.0,0.0,0.0,30.0,40.0
Q-34,293-492 B,8660,4238,0,4512,4133,0,293.0,20.0,0.0,123.0,110.0,40.0,492.0,80.0,0.0,140.0,262.0,10.0
Q-35,505-391 R,7483,3825,0,7198,7391,0,505.0,80.0,0.0,183.0,232.0,10.0,391.0,110.0,0.0,111.0,150.0,20.0
Q-36,631-356 R,6312,542,0,201,3633,0,631.0,100.0,0.0,337.0,134.0,60.0,356.0,100.0,0.0,186.0,70.0,0.0
Q-37,203-413 B,7832,7347,0,3595,8716,0,203.0,20.0,0.0,63.0,10.0,110.0,413.0,140.0,0.0,151.0,112.0,10.0
Q-38,399-583 B,5880,6002,0,5939,4855,0,399.0,100.0,0.0,249.0,50.0,0.0,583.0,110.0,0.0,269.0,204.0,0.0
Q-39,397-329 R,4512,5151,0,6137,7057,0,397.0,50.0,0.0,165.0,182.0,0.0,329.0,20.0,0.0,123.0,186.0,0.0
Q-40,358-507 B,3825,8660,0,5894,3805,0,358.0,50.0,0.0,126.0,182.0,0.0,507.0,80.0,0.0,105.0,262.0,60.0
Q-41,80-150 B,4604,7483,0,5953,3633,0,80.0,20.0,0.0,0.0,60.0,0.0,150.0,50.0,0.0,0.0,20.0,80.0
Q-42,572-433 R,6148,5215,0,6312,4238,0,572.0,110.0,0.0,200.0,262.0,0.0,433.0,150.0,0.0,111.0,172.0,0.0
Q-43,184-97 R,7187,25,0,542,8605,0,184.0,50.0,0.0,26.0,108.0,0.0,97.0,20.0,0.0,27.0,50.0,0.0
Q-44,240-242 B,6929,8045,0,7391,4133,0,240.0,80.0,0.0,120.0,10.0,30.0,242.0,100.0,0.0,18.0,74.0,50.0
Q-45,308-215 R,201,8441,0,6559,7198,0,308.0,20.0,0.0,132.0,156.0,0.0,215.0,50.0,0.0,105.0,60.0,0.0
Q-46,467-212 R,4855,7483,0,6137,7832,0,467.0,80.0,0.0,105.0,232.0,50.0,212.0,0.0,0.0,84.0,68.0,60.0
Q-47,314-191 R,6312,5880,0,7347,8660,0,314.0,20.0,0.0,204.0,80.0,10.0,191.0,20.0,0.0,81.0,80.0,10.0
Q-48,596-248 R,4238,8716,0,7057,8605,0,596.0,50.0,0.0,294.0,192.0,60.0,248.0,40.0,0.0,84.0,114.0,10.0
Q-49,560-126 R,4604,3805,0,542,8045,0,560.0,130.0,0.0,78.0,242.0,110.0,126.0,20.0,0.0,46.0,60.0,0.0
Q-50,364-540 B,6559,3633,0,3825,25,0,364.0,100.0,0.0,42.0,182.0,40.0,540.0,50.0,0.0,244.0,236.0,10.0
Q-51,467-372 R,4133,5151,0,7198,5939,0,467.0,50.0,0.0,211.0,206.0,0.0,372.0,50.0,0.0,156.0,146.0,20.0
Q-52,401-158 R,201,3595,0,7391,5953,0,401.0,110.0,0.0,163.0,128.0,0.0,158.0,70.0,0.0,18.0,20.0,50.0
Q-53,574-487 R,8441,6002,0,6148,7187,0,574.0,80.0,0.0,272.0,212.0,10.0,487.0,140.0,0.0,115.0,232.0,0.0
Q-54,242-262 B,5894,5215,0,4512,6929,0,242.0,20.0,0.0,0.0,202.0,20.0,262.0,20.0,0.0,32.0,210.0,0.0
Q-55,613-655 B,3825,4855,0,4238,542,0,613.0,110.0,0.0,261.0,232.0,10.0,655.0,80.0,0.0,333.0,222.0,20.0
Q-56,557-262 R,4133,8716,0,4604,6312,0,557.0,140.0,0.0,105.0,262.0,50.0,262.0,20.0,0.0,162.0,50.0,30.0
